#! FIELDS time psi11 phi10 alpha
#! SET min_psi11 -pi
#! SET max_psi11 pi
#! SET min_phi10 -pi
#! SET max_phi10 pi
 0.000000 -0.497002 3.046051 1.976503
 1.000000 -0.323118 2.907793 1.989467
 2.000000 -0.287606 -3.140975 1.990841
 3.000000 -0.368308 -2.958441 1.988390
 4.000000 -0.135350 -2.947065 1.988900
 5.000000 -0.345295 2.613309 1.971345
 6.000000 1.306797 -2.941841 1.973923
 7.000000 -0.438319 2.863073 1.968624
 8.000000 -0.353790 -2.883687 1.975754
 9.000000 1.126524 2.611437 1.979153
 10.000000 1.045396 -2.998568 1.976607
 11.000000 -0.280659 2.963246 1.979984
 12.000000 1.023998 -2.919234 1.970448
 13.000000 -0.295815 2.639149 1.976804
 14.000000 1.536498 -3.053273 1.963369
 15.000000 1.216998 2.886486 1.971218
 16.000000 1.392489 -3.035936 1.977776
 17.000000 -0.257692 -3.129858 1.980516
 18.000000 1.012621 2.775200 1.973763
 19.000000 -0.398410 2.775608 1.976633
 20.000000 -0.445932 2.814753 1.979903
 21.000000 -0.446866 2.837673 1.980192
 22.000000 -0.335472 3.017191 1.970711
 23.000000 -0.257704 3.079629 1.975013
 24.000000 1.052376 2.569753 1.979803
 25.000000 -0.333555 -3.092432 1.983921
 26.000000 1.287934 -2.933286 1.977808
 27.000000 -0.179306 2.612459 1.978909
 28.000000 1.815060 2.455852 1.980395
 29.000000 -0.452256 2.350951 1.978038
 30.000000 -0.267454 3.093343 1.980022
 31.000000 1.003058 2.987496 1.979628
 32.000000 -0.393097 2.838856 1.982665
 33.000000 1.574166 2.896907 1.981960
 34.000000 1.232440 2.991781 1.967930
 35.000000 1.446722 3.059673 1.979792
 36.000000 -0.237881 2.655182 1.980569
 37.000000 1.177829 1.847420 1.980872
 38.000000 -0.403765 2.685666 1.978505
 39.000000 1.079172 3.099823 1.974222
 40.000000 -0.405472 3.005626 1.983233
 41.000000 -0.326062 2.958500 1.974770
 42.000000 -0.345015 2.501026 1.978078
 43.000000 -0.451010 2.981467 1.973155
 44.000000 -0.252541 2.615823 1.982462
 45.000000 -0.183544 2.945867 1.976401
 46.000000 1.481387 -3.094093 1.976183
 47.000000 -0.328232 -3.131259 1.977632
 48.000000 -0.440204 2.851118 1.977504
 49.000000 -0.029505 2.946590 1.985723
 50.000000 1.834284 2.452117 1.979565
 51.000000 1.245647 2.901819 1.970825
 52.000000 -0.367724 -2.982201 1.979670
 53.000000 -0.350029 2.487526 1.972112
 54.000000 -0.089244 2.773430 1.979916
 55.000000 -0.578441 2.656334 1.973874
 56.000000 1.171836 2.765857 1.977601
 57.000000 -0.411254 2.682431 1.978804
 58.000000 -0.265424 -3.008051 1.973655
 59.000000 -0.462853 3.140419 1.969140
 60.000000 -0.411791 2.856305 1.986419
 61.000000 1.390902 3.012201 1.976535
 62.000000 -0.299855 2.875485 1.978521
 63.000000 0.996186 2.796206 1.969356
 64.000000 0.864217 3.104437 1.971330
 65.000000 1.031724 -2.779817 1.972161
 66.000000 -0.306512 3.027440 1.976915
 67.000000 -0.481045 2.931973 1.977955
 68.000000 -0.520309 2.430068 1.982670
 69.000000 -0.650809 2.750856 1.974357
 70.000000 -0.366434 -2.985154 1.977702
 71.000000 -0.507805 -2.838521 1.980185
 72.000000 0.829386 2.748258 1.976721
 73.000000 -0.490292 2.817223 1.977726
 74.000000 -0.245077 2.948664 1.978522
 75.000000 -0.303808 2.695701 1.974681
 76.000000 -0.392808 -2.966902 1.978321
 77.000000 -0.415266 2.824484 1.976756
 78.000000 -0.266229 2.753663 1.977179
 79.000000 1.075611 2.955765 1.974327
 80.000000 -0.518790 2.755677 1.978531
 81.000000 -0.285333 2.795079 1.977303
 82.000000 -0.434114 3.120920 1.974750
 83.000000 1.121823 2.692370 1.972299
 84.000000 -0.421091 -3.076523 1.973961
 85.000000 1.311126 2.640637 1.975740
 86.000000 -0.461009 2.847174 1.979079
 87.000000 -0.377931 2.156019 1.974279
 88.000000 -0.361812 2.839530 1.971828
 89.000000 -0.360875 3.082477 1.975148
 90.000000 -0.253848 -2.939324 1.988394
 91.000000 -0.348552 -2.950679 1.987049
 92.000000 -0.430257 -3.051343 1.970497
 93.000000 -0.493839 2.545797 1.973921
 94.000000 1.124129 -3.036559 1.968869
 95.000000 -0.258289 2.432353 1.972074
 96.000000 -0.459111 -3.087002 1.979059
 97.000000 -0.217534 2.591173 1.981329
 98.000000 -0.277550 -3.091294 1.978032
 99.000000 1.620562 2.813445 1.981545
 100.000000 -0.275021 2.793573 1.975968
 101.000000 -0.062723 2.738013 1.977250
 102.000000 -0.248419 -2.931770 1.975043
 103.000000 -0.402931 2.897007 1.982821
 104.000000 -0.267379 -3.069447 1.976252
 105.000000 -0.273309 2.779583 1.982019
 106.000000 -0.406574 -3.122851 1.973930
 107.000000 1.355564 -3.112035 1.977470
 108.000000 0.885994 2.909886 1.968188
 109.000000 1.398067 2.888684 1.974236
 110.000000 -0.295092 2.956271 1.978981
 111.000000 -0.241750 2.762466 1.978407
 112.000000 -0.366049 2.775586 1.977858
 113.000000 -0.201869 2.755829 1.978384
 114.000000 -0.458100 2.978622 1.989292
 115.000000 1.452198 2.743229 1.972943
 116.000000 -0.430618 2.862619 1.980498
 117.000000 -0.270195 2.641350 1.971730
 118.000000 -0.340118 2.552544 1.976698
 119.000000 -0.425366 2.894769 1.979340
 120.000000 -0.200719 2.677541 1.968511
 121.000000 0.226485 -3.087351 1.972256
 122.000000 0.268478 -3.053856 1.980198
 123.000000 0.445391 -3.090497 1.981265
 124.000000 0.365827 -2.850284 1.950261
 125.000000 -0.883219 2.733114 1.980843
 126.000000 0.160347 -3.055361 1.976157
 127.000000 0.414528 -2.101225 1.979006
 128.000000 0.299671 -1.844625 1.975926
 129.000000 0.303292 -2.308506 1.982481
 130.000000 0.250473 -2.770908 1.959464
 131.000000 0.215944 2.672230 1.945576
 132.000000 0.442335 -2.718429 1.428593
 133.000000 -0.306028 -2.323229 1.833661
 134.000000 1.227931 -2.943603 1.842100
 135.000000 -1.356202 -2.803069 1.432274
 136.000000 -1.247049 2.794562 1.785127
 137.000000 0.393219 3.036853 1.948287
 138.000000 0.233076 2.991163 1.954380
 139.000000 0.071226 2.759131 1.975357
 140.000000 0.347424 -2.683891 1.987826
 141.000000 0.289096 -2.939063 1.941622
 142.000000 0.235206 -3.080186 1.970090
 143.000000 0.353959 3.115645 1.965543
 144.000000 0.330536 -2.977823 1.949663
 145.000000 0.231037 -2.877283 1.961354
 146.000000 -0.058779 2.749942 1.966782
 147.000000 0.426069 -2.745250 1.964254
 148.000000 0.380932 -2.856113 1.667698
 149.000000 0.161959 3.086026 1.056429
 150.000000 -0.986702 2.661556 1.768007
 151.000000 -1.293482 2.910013 1.745506
 152.000000 -0.371483 -2.857795 1.595520
 153.000000 -0.476143 2.929251 1.178991
 154.000000 -1.720557 -2.993032 1.851082
 155.000000 0.435106 2.958734 1.870638
 156.000000 0.324726 -3.028349 1.864628
 157.000000 -1.432020 2.883890 1.776638
 158.000000 0.431963 -2.717837 1.813462
 159.000000 0.511152 -2.517545 1.434678
 160.000000 0.054844 -2.626538 1.814821
 161.000000 1.157436 -2.539905 1.908213
 162.000000 -0.398872 -2.672026 1.887554
 163.000000 -0.566044 -2.690744 1.864993
 164.000000 -2.130910 -2.688665 1.695021
 165.000000 0.331954 3.056677 1.944379
 166.000000 -1.380343 -2.757159 1.464903
 167.000000 -0.688575 -3.104285 1.856855
 168.000000 1.508070 -2.986751 1.930546
 169.000000 -1.400241 2.720698 1.850554
 170.000000 1.527728 -2.156926 1.843647
 171.000000 1.448669 -2.469885 1.449590
 172.000000 0.307898 -2.916541 1.746397
 173.000000 0.798807 -2.633553 1.592967
 174.000000 -0.406441 -2.727993 1.958349
 175.000000 0.506595 3.097205 1.849240
 176.000000 0.155287 2.949168 1.636736
 177.000000 -1.667033 3.078825 1.696795
 178.000000 0.430769 -2.824509 1.910183
 179.000000 0.163615 -2.614125 1.153542
 180.000000 0.187023 2.580257 1.730294
 181.000000 -0.294352 2.710295 1.843593
 182.000000 -1.537001 2.145182 1.696652
 183.000000 -1.129588 -2.877929 1.729185
 184.000000 0.259591 -2.586435 1.918733
 185.000000 0.700079 -2.575519 1.736540
 186.000000 0.172757 2.495348 1.415879
 187.000000 -0.377344 -2.463636 1.864420
 188.000000 0.071848 -2.925645 1.724930
 189.000000 -0.422533 -2.852697 1.832791
 190.000000 0.164004 -2.733619 1.739398
 191.000000 1.224044 -2.829437 1.742717
 192.000000 1.031935 -2.381466 1.864591
 193.000000 0.295242 -2.758241 1.508578
 194.000000 -0.356804 2.780292 1.851003
 195.000000 -0.413337 -3.060267 1.741784
 196.000000 -1.036331 3.044401 1.870041
 197.000000 0.434859 2.766375 1.971526
 198.000000 -0.443763 2.964749 1.959001
 199.000000 -0.312600 2.932494 1.977218
 200.000000 0.383553 2.782896 1.826421
 201.000000 -0.072458 -2.534568 1.715218
 202.000000 0.419118 -2.583074 1.487158
 203.000000 0.435634 -2.708421 1.926873
 204.000000 -0.405673 -2.335242 1.790076
 205.000000 0.344752 -2.737154 1.202197
 206.000000 0.826133 -2.790355 1.784213
 207.000000 0.258783 -2.593042 1.894442
 208.000000 0.491156 3.117612 1.858719
 209.000000 0.265440 2.981461 1.869954
 210.000000 0.448760 -2.923894 1.906960
 211.000000 0.257975 -2.907149 1.866649
 212.000000 0.517497 -2.218731 1.731996
 213.000000 -0.568621 -3.101485 1.925334
 214.000000 -0.064187 2.821844 1.949097
 215.000000 -0.278608 -2.093579 1.817210
 216.000000 0.038498 -2.756448 1.680461
 217.000000 0.301460 3.063997 1.971632
 218.000000 -1.829518 -2.511112 1.415761
 219.000000 1.418930 2.828904 1.588902
 220.000000 -0.194718 -2.665226 1.369694
 221.000000 0.116644 2.917909 1.557348
 222.000000 -1.522369 -2.801697 1.560419
 223.000000 0.146984 2.713960 1.838769
 224.000000 -1.565581 -2.887774 1.819598
 225.000000 0.396172 2.699579 1.647526
 226.000000 0.319418 -2.650022 1.759485
 227.000000 -1.455193 -2.694180 1.156679
 228.000000 0.956623 -2.146892 1.538926
 229.000000 -1.339948 3.068385 1.419870
 230.000000 0.342477 -2.627482 1.775906
 231.000000 0.115277 -2.729402 1.796413
 232.000000 -1.248627 -2.540916 1.696192
 233.000000 -1.530084 -2.992282 1.853647
 234.000000 -0.493450 -2.658646 1.507088
 235.000000 0.522154 -2.262664 1.478559
 236.000000 0.448422 -2.583480 1.957773
 237.000000 0.182448 -2.355064 1.877347
 238.000000 0.097239 2.935245 1.952630
 239.000000 0.504431 -2.932583 1.927020
 240.000000 0.374888 -3.122219 1.786824
 241.000000 -1.162691 2.531859 1.706691
 242.000000 0.604048 -2.778045 1.370361
 243.000000 0.389576 2.793400 1.766170
 244.000000 -0.480703 -2.391277 1.971840
 245.000000 -0.805879 -2.641259 1.954174
 246.000000 0.392152 -2.480342 1.804491
 247.000000 0.267290 -2.882799 1.883178
 248.000000 0.232119 -2.788294 1.724021
 249.000000 -1.423876 3.001680 1.825662
 250.000000 -1.429625 -2.933289 1.332661
 251.000000 -1.611681 -2.930931 1.352265
 252.000000 -1.498587 2.782827 1.902677
 253.000000 -1.584530 -2.736544 1.319018
 254.000000 -0.326803 2.804757 1.937507
 255.000000 0.278114 -2.067887 1.832717
 256.000000 -1.520036 -2.599842 1.862552
 257.000000 -1.213416 3.137266 1.402949
 258.000000 0.164591 -3.001388 1.836176
 259.000000 -1.280477 -2.882841 1.401533
 260.000000 0.400170 2.904047 1.877267
 261.000000 0.234023 -2.235125 1.830103
 262.000000 0.322805 2.764049 1.892399
 263.000000 0.171467 -2.809320 1.935018
 264.000000 0.346854 -2.536747 1.428108
 265.000000 -0.362124 2.646457 1.538728
 266.000000 1.217241 2.641800 1.541427
 267.000000 0.514486 -2.557204 1.615004
 268.000000 -1.532780 -2.611886 1.154135
 269.000000 1.369259 -2.689108 1.549469
 270.000000 1.429172 -2.721670 1.943369
 271.000000 0.312902 2.625003 1.968797
 272.000000 0.162836 -2.855734 1.967502
 273.000000 0.228793 2.489158 1.943716
 274.000000 0.070230 2.766189 1.971256
 275.000000 0.318302 -3.005051 1.978877
 276.000000 -1.022250 3.113185 1.790213
 277.000000 0.047789 2.889906 1.726080
 278.000000 0.329226 -2.921085 1.543336
 279.000000 -1.252097 2.602362 1.648936
 280.000000 0.237655 2.850893 1.922150
 281.000000 -1.318493 -2.636783 1.045488
 282.000000 -0.221152 2.838724 1.381355
 283.000000 -1.515171 -2.729392 1.632884
 284.000000 0.431312 2.327655 1.858112
 285.000000 -0.424600 3.024652 1.953026
 286.000000 0.327326 2.174892 1.799919
 287.000000 -0.004365 2.938933 1.797998
 288.000000 0.388433 2.883264 1.736913
 289.000000 0.208513 3.059178 1.895600
 290.000000 -1.489846 2.879865 1.854502
 291.000000 0.185151 -2.644887 1.937121
 292.000000 1.379859 3.093584 1.718083
 293.000000 0.317799 2.713201 1.498737
 294.000000 1.956166 -2.594406 1.875578
 295.000000 1.211424 -2.894431 1.759634
 296.000000 -1.566746 -3.022821 1.887989
 297.000000 -1.367193 -2.739242 1.798744
 298.000000 -0.270822 -2.546424 1.327339
 299.000000 0.090013 -3.058266 1.957940
 300.000000 0.524395 -2.703558 1.626004
 301.000000 -1.113095 3.139251 1.601231
 302.000000 1.783248 -2.809258 1.717463
 303.000000 0.485131 -2.735061 1.486789
 304.000000 -0.235918 3.107513 1.894907
 305.000000 -0.318688 2.614319 1.894796
 306.000000 1.495103 -2.756750 1.607265
 307.000000 0.408272 -2.832208 1.110411
 308.000000 -1.164830 -3.084628 1.889641
 309.000000 -1.750998 -3.064527 1.949571
 310.000000 0.984029 -2.807853 1.387337
 311.000000 0.801171 -2.216375 1.775347
 312.000000 0.266630 -2.548579 1.884936
 313.000000 -1.141579 -2.198759 1.882746
 314.000000 0.635270 -2.394362 1.150968
 315.000000 0.666816 -2.832004 0.691131
 316.000000 -1.294440 -2.488744 0.670453
 317.000000 -0.384489 -3.133474 1.198746
 318.000000 -0.325349 -3.078402 1.872729
 319.000000 -1.766781 2.746043 1.024048
 320.000000 -1.737473 -2.954951 1.844215
 321.000000 -1.375535 2.900714 1.757247
 322.000000 0.528964 -1.791704 1.578864
 323.000000 -0.455283 -2.685092 1.638114
 324.000000 -0.930317 -2.748336 1.623995
 325.000000 -0.835405 2.945998 1.903300
 326.000000 0.520935 -3.113470 1.819479
 327.000000 -1.194636 3.124383 1.839747
 328.000000 -1.936184 2.955550 1.868686
 329.000000 0.182830 2.829191 1.831608
 330.000000 0.398634 3.130160 1.839673
 331.000000 -1.277565 3.005298 1.872414
 332.000000 0.424510 2.739140 1.917235
 333.000000 -0.755929 -2.762300 1.842970
 334.000000 -1.385669 -2.950141 1.880296
 335.000000 0.464682 2.843875 1.818452
 336.000000 -1.213593 3.064411 1.848727
 337.000000 0.385553 -3.060839 1.854302
 338.000000 0.535380 3.131576 1.857033
 339.000000 0.448005 -3.034076 1.862355
 340.000000 -0.867051 2.906040 1.900750
 341.000000 -0.868576 2.990694 1.894725
 342.000000 -1.175593 2.968414 1.826366
 343.000000 0.454340 -3.084220 1.852000
 344.000000 -1.419295 -2.651299 1.848737
 345.000000 0.107791 -2.945237 1.881065
 346.000000 0.514852 3.065767 1.823365
 347.000000 0.442910 3.065236 1.846186
